Image Link,Design No,Price,Available Sizes,Position,Video Link
https://drive.google.com/uc?id=1uKfNSoxGl0_QUqbpHJl5xnfgzQVo8N59,501,1995,"36,38,40,42,44,46",1,
https://drive.google.com/uc?id=1QH19_h0xscj2X87iEhy3qiSAk83Y4cvx,502,1695,"36,38,40,42,44,46",2,
